,cities,latitude,longitude,countrycode,db_label
147,Louisville,38.25424,-85.75941,US,0
148,Baton Rouge,30.44332,-91.18746999999999,US,0
149,Florence,43.77925,11.246260000000001,IT,2
150,Pensacola,30.42131,-87.21691,US,0
151,Corpus Christi,27.80058,-97.39638000000001,US,0
152,Lemon Grove,32.74255,-117.03142,US,0
153,Huntsville,34.7304,-86.58594000000001,US,0
154,Athens,37.98376,23.72784,GR,4
155,Panama City,30.15946,-85.65983,US,0
157,Brooklyn,40.6501,-73.94958000000001,US,0
158,Escondido,33.119209999999995,-117.08641999999999,US,0
159,Belmont,37.52021,-122.2758,US,0
160,Sacramento,38.58157,-121.4944,US,0
161,Veracruz,19.18095,-96.1429,MX,0
162,Dayton,39.75895,-84.19161,US,0
163,Kingston,17.997020000000003,-76.79358,JM,0
164,Gainesville,29.651629999999997,-82.32483,US,0
165,Montevideo,-34.90328,-56.188159999999996,UY,0
166,Detroit,42.33143,-83.04575,US,0
169,Singapore,1.28967,103.85007,SG,1
170,Manhattan,40.783429999999996,-73.96625,US,0
171,Miri,4.39928,113.99163,MY,1
172,Syracuse,43.048120000000004,-76.14742,US,0
173,Raleigh,35.7721,-78.63861,US,0
175,Shreveport,32.52515,-93.75018,US,0
176,Ithaca,42.44063,-76.49661,US,0
177,Strasbourg,48.58392,7.7455300000000005,FR,2
178,Fresno,36.74773,-119.77237,US,0
179,Missoula,46.87215,-113.994,US,0
180,Santos,-23.960829999999998,-46.33361,BR,0
181,Belfort,47.642179999999996,6.85385,FR,2
182,Libreville,0.39241,9.453560000000001,GA,5
183,Tucson,32.221740000000004,-110.92648,US,0
184,Winnipeg,49.8844,-97.14704,CA,0
185,Kansas City,39.09973,-94.57857,US,0
186,Cambridge,52.2,0.11667000000000001,GB,2
187,Toledo,41.663940000000004,-83.55521,US,0
188,Lafayette,30.224090000000004,-92.01984,US,0
189,Mecca,21.42664,39.82563,SA,4
190,San Benito,16.91675,-89.91898,GT,0
191,Harrisburg,40.2737,-76.88441999999999,US,0
192,North Miami,25.89009,-80.18670999999999,US,0
193,Urbana,40.11059,-88.20727,US,0
194,Pittsburgh,40.44062,-79.99589,US,0
195,Denver,39.73915,-104.9847,US,0
196,Tunapuna,10.65245,-61.388780000000004,TT,0
197,Mandalay,21.974729999999997,96.08359,MM,1
198,Boulder,40.014990000000004,-105.27055,US,0
200,Rockville,39.084,-77.15276,US,0
201,Chatham,51.37891,0.52786,GB,2
202,Ontario,34.063340000000004,-117.65088999999999,US,0
203,Naples,40.85216,14.26811,IT,2
204,Davao,7.073060000000001,125.61278,PH,1
205,Arcadia,34.13973,-118.03533999999999,US,0
206,Oxford,51.75222,-1.25596,GB,2
207,Stephenville,32.2207,-98.20226,US,0
208,Providence,41.82399,-71.41283,US,0
209,Windsor,42.30008,-83.01654,CA,0
210,Valdosta,30.833340000000003,-83.28031999999999,US,0
211,Coral Gables,25.72149,-80.26838000000001,US,0
212,Danbury,41.39482,-73.45401,US,0
213,Chula Vista,32.64005,-117.0842,US,0
214,Jefferson,38.86456,-77.18776,US,0
215,Las Vegas,36.17497,-115.13722,US,0
216,West Palm Beach,26.71534,-80.05337,US,0
217,Mobile,30.694359999999996,-88.04305,US,0
218,Daytona Beach,29.21081,-81.02283,US,0
219,Lausanne,46.516000000000005,6.63282,CH,2
220,San Jose,37.33939,-121.89496000000001,US,0
221,Farmington,36.72806,-108.21869,US,0
222,Union,40.6976,-74.2632,US,0
223,Albany,42.65258,-73.75623,US,0
224,Bello,6.33732,-75.55795,CO,0
225,Hamburg,53.57532,10.01534,DE,2
226,Madera,36.96134,-120.06071999999999,US,0
227,Lubbock,33.57786,-101.85517,US,0
228,Boise,43.6135,-116.20345,US,0
229,Lagos,6.45407,3.3946699999999996,NG,5
230,Ibadan,7.377560000000001,3.90591,NG,5
231,Birmingham,52.48141999999999,-1.89983,GB,2
232,Waldorf,38.624559999999995,-76.93914000000001,US,0
235,Newark,40.735659999999996,-74.17237,US,0
236,Sparks,39.534909999999996,-119.75268999999999,US,0
237,Berlin,52.52437,13.41053,DE,2
238,Ardmore,34.17426,-97.14363,US,0
239,Florida,21.52536,-78.22579,CU,0
240,Fontainebleau,48.409079999999996,2.7017700000000002,FR,2
241,Frisco,33.15067,-96.82361,US,0
242,Dubai,25.07725,55.30927,AE,4
243,Benton,34.56454,-92.58683,US,0
244,Calgary,51.05011,-114.08528999999999,CA,0
245,Pinewood,25.86898,-80.21699,US,0
246,Ljubljana,46.05108,14.50513,SI,2
247,Tehran,35.694390000000006,51.42151,IR,4
249,Murcia,37.98704,-1.13004,ES,2
250,Margate,51.38132,1.3861700000000001,GB,2
251,Petersburg,37.22793,-77.40193000000001,US,0
253,Vienna,48.208490000000005,16.37208,AT,2
254,Orange,33.78779,-117.85311000000002,US,0
255,Richmond,37.55376,-77.46025999999999,US,0
256,Medina,24.46861,39.61417,SA,4
258,Hidalgo,25.97205,-100.45029,MX,0
259,Hollywood,34.09834,-118.32673999999999,US,0
260,Oaxaca,17.06542,-96.72365,MX,0
261,Durham,35.99403,-78.89862,US,0
262,Taoyuan City,24.993679999999998,121.29696000000001,TW,1
263,La Jolla,32.84727,-117.2742,US,0
264,Hartford,41.763709999999996,-72.68509,US,0
265,New Bedford,41.635259999999995,-70.92701,US,0
266,Tulsa,36.15398,-95.99277,US,0
267,Indianapolis,39.76838,-86.15804,US,0
268,Dhaka,23.7104,90.40744000000001,BD,1
269,Albany,42.65258,-73.75623,US,0
271,Starkville,33.45049,-88.81961,US,0
273,Nadi,-17.80309,177.41617,FJ,6
274,Tocumen,9.08939,-79.3831,PA,0
275,Phnom Penh,11.56245,104.91601000000001,KH,1
276,Harlingen,26.19063,-97.6961,US,0
277,Barranquilla,10.968539999999999,-74.78132,CO,0
278,Milwaukee,43.0389,-87.90647,US,0
279,Rotterdam,51.9225,4.47917,NL,2
280,Arlington,32.735690000000005,-97.10807,US,0
281,Yogyakarta,-7.80139,110.36471999999999,ID,1
282,Dublin,53.333059999999996,-6.24889,IE,2
283,Baud,20.83773,84.32618000000001,IN,1
284,Salem,11.65376,78.15538000000001,IN,1
288,Pasig City,14.586910000000001,121.0614,PH,1
289,Kampong Cham,11.99339,105.4635,KH,1
290,Rizal,15.7118,121.1061,PH,1
291,Palm Beach Gardens,26.823390000000003,-80.13865,US,0
293,Meriden,41.53815,-72.80704,US,0
294,Abilene,32.44874,-99.73314,US,0
295,Palm Springs,33.8303,-116.54529,US,0
296,Halifax,44.64533,-63.572390000000006,CA,0
297,Natal,-5.795,-35.20944,BR,0
298,Rochester,43.15478,-77.61556,US,0
299,Phetchabun,16.41904,101.16056,TH,1
300,Bullhead City,35.14778,-114.5683,US,0
302,Ottawa,45.41117,-75.69811999999999,CA,0
303,Summerville,33.0185,-80.17565,US,0
304,Bloomington,44.8408,-93.29828,US,0
305,Stuttgart,48.78232,9.177019999999999,DE,2
306,Glasgow,55.86515,-4.257630000000001,GB,2
307,Phoenix,33.44838,-112.07404,US,0
309,Madrid,40.4165,-3.70256,ES,2
310,Madrid,40.4165,-3.70256,ES,2
311,Weslaco,26.15952,-97.99084,US,0
312,Santiago,-33.45694,-70.64827,CL,0
313,Las Cumbres,9.089160000000001,-79.52809,PA,0
314,Jefferson,38.86456,-77.18776,US,0
315,Ennis,52.84361,-8.98639,IE,2
316,Southampton,50.90395,-1.40428,GB,2
317,Boardman,41.024229999999996,-80.66285,US,0
318,Richland,46.28569,-119.28446000000001,US,0
319,Richmond,37.55376,-77.46025999999999,US,0
320,Kobe,34.6913,135.183,JP,1
321,Schenectady,42.814240000000005,-73.93956999999999,US,0
322,Grenoble,45.17869,5.71479,FR,2
323,Yerevan,40.18111,44.51361,AM,4
324,Sincelejo,9.30472,-75.39778000000001,CO,0
325,Montpellier,43.61092,3.8772300000000004,FR,2
328,Lakewood,39.70471,-105.08136999999999,US,0
329,Kuching,1.55,110.33333,MY,1
330,Omaha,41.25626,-95.94043,US,0
331,Springs,-26.25,28.4,ZA,4
332,Coronado,32.68589,-117.18308999999999,US,0
333,Lorain,41.45282,-82.18236999999999,US,0
334,Simpsonville,34.73706,-82.25428000000001,US,0
335,Framingham,42.27926,-71.41617,US,0
336,Brighton,50.828379999999996,-0.13947,GB,2
337,Jacobina,-11.18143,-40.51372,BR,0
338,Bridgeport,41.17923,-73.18945,US,0
343,Bedford,52.13459,-0.46631999999999996,GB,2
344,Tamarac,26.21286,-80.24977,US,0
345,Milford,41.22232,-73.0565,US,0
346,Huddersfield,53.64904,-1.7841599999999997,GB,2
347,Bakersfield,35.373290000000004,-119.01871000000001,US,0
349,Udon Thani,17.415670000000002,102.78589000000001,TH,1
350,Stockholm,59.33258000000001,18.0649,SE,2
351,Berkeley,37.871590000000005,-122.27275,US,0
353,New Orleans,29.95465,-90.07507,US,0
354,Annapolis,38.97845,-76.49218,US,0
355,Monroe,32.50931,-92.1193,US,0
356,Saginaw,43.419470000000004,-83.95081,US,0
357,Sevierville,35.86815,-83.56184,US,0
358,Duisburg,51.43247,6.765160000000001,DE,2
359,Saint Charles,38.78394,-90.48123000000001,US,0
360,Gaithersburg,39.143440000000005,-77.20137,US,0
361,San Bernardino,34.108340000000005,-117.28976999999999,US,0
362,Laventille,10.64917,-61.49889,TT,0
363,Waco,31.549329999999998,-97.14667,US,0
364,Newcastle,-27.757959999999997,29.9318,ZA,4
365,Erie,42.129220000000004,-80.08506,US,0
367,Greenville,35.61266,-77.36635,US,0
368,Calumpang,14.6228,121.0897,PH,1
369,Quisqueya,18.55542,-69.40814,DO,0
371,Fortaleza,-3.7172199999999997,-38.54306,BR,0
372,Bundaberg,-24.86621,152.3479,AU,3
373,Stamford,41.05343,-73.53873,US,0
374,Huntington,38.41925,-82.44515,US,0
375,Bristol,51.45523,-2.59665,GB,2
376,Stillwater,36.11561,-97.05837,US,0
377,Imperial,-13.05927,-76.35269,PE,0
380,Springdale,36.18674,-94.12881,US,0
381,Norwalk,33.90224,-118.08173000000001,US,0
382,Orange,33.78779,-117.85311000000002,US,0
383,Pilsen,49.74747,13.37759,CZ,2
384,La Paz,-16.5,-68.15,BO,0
385,Puducherry,11.933810000000001,79.82979,IN,1
386,Carrollton,32.95373,-96.89028,US,0
387,Tangier,35.76727,-5.79975,MA,2
388,Iquitos,-3.7491199999999996,-73.25383000000001,PE,0
389,Racine,42.72613,-87.78285,US,0
390,Lansing,42.73253,-84.55553,US,0
391,Alpharetta,34.075379999999996,-84.29409,US,0
392,Pedro Juan Caballero,-22.547220000000003,-55.73333,PY,0
393,Melbourne,-37.814,144.96331999999998,AU,3
394,La Libertad,-2.233,-80.91039,EC,0
395,Mattoon,39.483090000000004,-88.37283000000001,US,0
396,Kent,47.38093,-122.23483999999999,US,0
397,Bonita Springs,26.339809999999996,-81.7787,US,0
398,Brazzaville,-4.26613,15.283179999999998,CG,5
399,Fort Myers,26.621679999999998,-81.84059,US,0
400,Lewisville,33.04623,-96.99417,US,0
401,Ogden,41.223,-111.97383,US,0
402,Fort Hood,31.134890000000002,-97.77561,US,0
403,Huzhou,30.8703,120.0933,CN,1
404,Newburgh,41.50343,-74.01042,US,0
405,Iowa City,41.66113,-91.53017,US,0
406,Managua,12.132819999999999,-86.2504,NI,0
407,Santa Elena,-2.22622,-80.85873000000001,EC,0
408,Howard Beach,40.65788,-73.83625,US,0
409,Reno,39.52963,-119.8138,US,0
410,Plainfield,40.63371,-74.40737,US,0
411,Carlsbad,33.15809,-117.35059,US,0
412,Scranton,41.40916,-75.6649,US,0
413,Brussels,50.85045,4.3487800000000005,BE,2
414,Olinda,-8.00889,-34.85528,BR,0
415,Hallandale Beach,25.9812,-80.14838,US,0
416,Storrs,41.80843,-72.24951999999999,US,0
417,Germantown,39.173159999999996,-77.27165,US,0
418,North Platte,41.12389,-100.76541999999999,US,0
419,Golden,39.75554,-105.2211,US,0
420,Ganja,40.68278,46.36056,AZ,4
421,Kathmandu,27.701690000000003,85.3206,NP,1
422,Fairfield,38.249359999999996,-122.03997,US,0
423,Kozhikode,11.24802,75.7804,IN,1
424,Santa Fe,-31.648809999999997,-60.70868000000001,AR,0
425,Alexandria,31.201759999999997,29.91582,EG,4
426,Alhambra,33.49838,-112.13432,US,0
427,Damascus,33.5102,36.29128,SY,4
428,Pekanbaru,0.51667,101.44167,ID,1
430,Bentonville,36.37285,-94.20881999999999,US,0
431,Hammond,41.58337,-87.50004,US,0
432,Bridgeton,39.42734,-75.23408,US,0
433,Biloxi,30.39603,-88.88531,US,0
434,Hilden,51.16818,6.93093,DE,2
435,Khartoum,15.551770000000001,32.53241,SD,4
436,Harare,-17.827720000000003,31.05337,ZW,4
437,Sibu,2.3,111.81667,MY,1
438,Quezon,7.7302800000000005,125.09889,PH,1
439,Crawfordsville,40.04115,-86.87445,US,0
440,Greenville,35.61266,-77.36635,US,0
441,Akron,41.08144,-81.51901,US,0
442,Nuevo Laredo,27.476290000000002,-99.51639,MX,0
443,San Mateo,14.6982,121.1236,PH,1
444,Boca Raton,26.358690000000003,-80.0831,US,0
445,Bradenton,27.498929999999998,-82.57481999999999,US,0
446,University City,38.655879999999996,-90.30928,US,0
447,Wisconsin Rapids,44.38358,-89.81735,US,0
448,Kissimmee,28.304679999999998,-81.41667,US,0
449,Fremont,37.54827,-121.98857,US,0
450,The Bronx,40.84985,-73.86641,US,0
451,North Bay,46.3168,-79.46633,CA,0
452,Baku,40.37767,49.89201,AZ,4
453,Sochi,43.59917,39.72569,RU,4
454,Caguas,18.23412,-66.0485,PR,0
455,Tacoma,47.25288,-122.44429,US,0
456,Nashua,42.765370000000004,-71.46757,US,0
457,Arvada,39.80276,-105.08748,US,0
458,Monroe,32.50931,-92.1193,US,0
461,Deerfield,42.17114,-87.84451,US,0
462,Bonn,50.73438,7.09549,DE,2
464,Foster City,37.55855,-122.27108,US,0
465,Santa Monica,34.01945,-118.49118999999999,US,0
466,Fort Pierce,27.446709999999996,-80.32561,US,0
467,Pyongyang,39.03385,125.75431999999999,KP,1
468,Winter Park,28.6,-81.33924,US,0
469,Durango,43.171240000000004,-2.6338,ES,2
470,Staten Island,40.562329999999996,-74.13986,US,0
471,Mpika,-11.83431,31.45287,ZM,4
472,Gladstone,-23.84852,151.25775,AU,3
473,London,51.50853,-0.12574000000000002,GB,2
474,New Milford,40.9351,-74.01903,US,0
475,Palo Alto,37.44188,-122.14301999999999,US,0
476,Hinthada,17.64944,95.45705,MM,1
477,Quito,-0.22985,-78.52495,EC,0
478,Vineland,39.48623,-75.02573000000001,US,0
479,Zamboanga,6.91028,122.07388999999999,PH,1
481,Tupelo,34.258070000000004,-88.70464,US,0
483,Lisbon,38.71667,-9.13333,PT,2
484,Madrid,40.4165,-3.70256,ES,2
485,Barcelona,41.38879,2.15899,ES,2
486,Lisbon,38.71667,-9.13333,PT,2
487,Madrid,40.4165,-3.70256,ES,2
488,Barcelona,41.38879,2.15899,ES,2
489,Yakima,46.60207,-120.5059,US,0
490,Luanda,-8.83682,13.23432,AO,5
491,Dumai,1.6671099999999999,101.44315999999999,ID,1
492,Redmond,47.67399,-122.12151000000001,US,0
493,Concord,37.97798,-122.03107,US,0
494,Rockland,42.13066,-70.91615999999999,US,0
495,Mankato,44.15906,-94.00915,US,0
496,Toms River,39.95373,-74.19792,US,0
497,Zanzibar,-6.16394,39.19793,TZ,4
499,Arusha,-3.3666699999999996,36.68333,TZ,4
500,New Kingston,18.00747,-76.78319,JM,0
501,Yokohama,35.43333,139.65,JP,1
502,Kitwe,-12.802430000000001,28.21323,ZM,4
503,Bismarck,46.80833,-100.78374000000001,US,0
504,Minot,48.23251,-101.29626999999999,US,0
505,Terrebonne,45.70004,-73.64732,CA,0
506,North Vancouver,49.316359999999996,-123.06934,CA,0
507,Hemet,33.747609999999995,-116.97306999999999,US,0
510,Darien,41.751979999999996,-87.97395,US,0
511,Fairfield,38.249359999999996,-122.03997,US,0
512,Princeton,40.34872,-74.65905,US,0
513,Copenhagen,55.675940000000004,12.56553,DK,2
514,Wuhan,30.58333,114.26666999999999,CN,1
515,San Luis,-33.29501,-66.33563000000001,AR,0
517,Canberra,-35.28346,149.12807,AU,3
518,Greater Noida,28.49615,77.53601,IN,1
519,Palm Springs,33.8303,-116.54529,US,0
521,Leesburg,39.11566,-77.5636,US,0
525,Sangre Grande,10.58705,-61.13008000000001,TT,0
526,Colombo,6.93548,79.84868,LK,1
527,Addis Ababa,9.02497,38.74689,ET,4
528,University,28.073890000000002,-82.43902,US,0
529,Janesville,42.682790000000004,-89.01872,US,0
530,Altus,34.63813,-99.33398000000001,US,0
531,Miami,25.77427,-80.19366,US,0
532,Jaen,15.3275,120.9192,PH,1
533,Edinburgh,55.952059999999996,-3.1964799999999998,GB,2
534,Reynosa,26.08061,-98.28835,MX,0
535,Tulare,36.20773,-119.34733999999999,US,0
536,Chennai,13.08784,80.27847,IN,1
537,Danvers,42.57509,-70.93005,US,0
538,Miami,25.77427,-80.19366,US,0
540,Albuquerque,35.08449,-106.65113999999998,US,0
541,Cranford,40.65844,-74.29959000000001,US,0
542,Monroe,32.50931,-92.1193,US,0
543,Springville,40.16523,-111.61075,US,0
544,San Onofre,9.73586,-75.52626,CO,0
546,Joliet,41.52519,-88.0834,US,0
547,Chanthaburi,12.60961,102.10446999999999,TH,1
548,Lawrenceville,33.95621,-83.98796,US,0
550,Limoeiro,-7.87472,-35.45028,BR,0
551,Ibadan,7.377560000000001,3.90591,NG,5
552,Avon Lake,41.505320000000005,-82.0282,US,0
553,Kinshasa,-4.32758,15.31357,CD,5
554,Henderson,36.0397,-114.98194,US,0
555,Lakeland,28.03947,-81.9498,US,0
556,Winona,44.04996,-91.63932,US,0
557,Canton,42.30865,-83.48216,US,0
558,Ronkonkoma,40.81538,-73.11233,US,0
560,Norwalk,33.90224,-118.08173000000001,US,0
561,Medford,42.32652,-122.87558999999999,US,0
562,Evansville,37.974759999999996,-87.55585,US,0
563,Bossier City,32.51599,-93.73212,US,0
564,San Jose,37.33939,-121.89496000000001,US,0
565,Edinburgh,55.952059999999996,-3.1964799999999998,GB,2
566,Duluth,46.78327,-92.10658000000001,US,0
568,Norfolk,36.84681,-76.28522,US,0
569,Botucatu,-22.88583,-48.445,BR,0
570,Manassas,38.75095,-77.47527,US,0
571,Fayetteville,35.052659999999996,-78.87836,US,0
572,Cambridge,52.2,0.11667000000000001,GB,2
573,Fukushima,37.75,140.46667,JP,1
574,Miami,25.77427,-80.19366,US,0
575,North Bethesda,39.04455,-77.11887,US,0
577,Dongguan,23.017970000000002,113.74866000000002,CN,1
578,Belmopan,17.25,-88.76666999999999,BZ,0
579,Yuma,32.72532,-114.6244,US,0
580,Morristown,36.21398,-83.29489000000001,US,0
581,Joplin,37.08423,-94.51328000000001,US,0
583,Corona,33.87529,-117.56643999999999,US,0
584,Danville,37.82159,-121.99996000000002,US,0
586,Marquette,46.54354,-87.39542,US,0
587,Anaheim,33.83529,-117.9145,US,0
588,Manaus,-3.1019400000000004,-60.025,BR,0
589,Caucasia,7.98654,-75.19349,CO,0
590,Aurora,39.72943,-104.83192,US,0
591,Manchester,53.48095,-2.23743,GB,2
592,Kamphaeng Phet,16.483439999999998,99.52153,TH,1
593,Labasa,-16.4332,179.36451,FJ,6
594,Fargo,46.87719,-96.7898,US,0
595,Mexicali,32.62781,-115.45446000000001,MX,0
596,Hauppauge,40.82565,-73.20260999999999,US,0
597,Hayward,37.668820000000004,-122.0808,US,0
600,Plant City,28.01888,-82.11469,US,0
601,Sanaa,15.35472,44.20667,YE,4
602,North Miami Beach,25.93315,-80.16255,US,0
603,Kensington,40.646209999999996,-73.97069,US,0
605,Riverside,33.95335,-117.39616000000001,US,0
606,Northfield,44.4583,-93.1616,US,0
607,Monroe,32.50931,-92.1193,US,0
608,Trenton,40.21705,-74.74294,US,0
609,Ilopango,13.701670000000002,-89.10944,SV,0
610,Barstow,34.898590000000006,-117.02282,US,0
611,Aswan,24.09082,32.89942,EG,4
612,East Moline,41.50087,-90.4443,US,0
613,Redlands,34.05557,-117.18253999999999,US,0
614,Basel,47.55839,7.57327,CH,2
615,Kampong Speu,11.45332,104.52085,KH,1
616,Alameda,37.765209999999996,-122.24163999999999,US,0
617,Lyon,45.748459999999994,4.84671,FR,2
618,Memphis,35.14953,-90.04898,US,0
619,Delray Beach,26.46146,-80.07282,US,0
620,Hampton,37.02987,-76.34522,US,0
622,Stratford,41.184540000000005,-73.13316999999999,US,0
623,South Bend,41.68338,-86.25001,US,0
624,Bethlehem,-28.23078,28.30707,ZA,4
625,Davenport,41.52364,-90.57764,US,0
626,Suzhou,31.30408,120.59538,CN,1
627,Elyria,41.36838,-82.10765,US,0
629,Tbilisi,41.694109999999995,44.83368,GE,4
632,Suffolk,36.728359999999995,-76.58496,US,0
633,Allentown,40.60843,-75.49018000000001,US,0
634,Bedford,52.13459,-0.46631999999999996,GB,2
635,Yiwu,29.31506,120.07676000000001,CN,1
636,Yurimaguas,-5.90181,-76.12234000000001,PE,0
637,Easton,40.68843,-75.22073,US,0
638,Milton,43.51681,-79.88294,CA,0
639,Sevilla,37.38283,-5.97317,ES,2
640,Clovis,36.82523,-119.70291999999999,US,0
641,Fort Worth,32.72541,-97.32085,US,0
642,Boynton Beach,26.52535,-80.06643000000001,US,0
643,Portoviejo,-1.0545799999999999,-80.45445,EC,0
644,Muscat,23.58413,58.40778,OM,4
645,Jerusalem,31.769040000000004,35.21633,IL,4
