,latitude,longitude,cluster_label,headline
0,-19.266389999999998,146.80569,5,Townsville Zika tests inconclusive
1,-23.38032,150.50595,5,Precautionary Zika measures in Rockhampton
2,7.08971,171.38027,5,Is Zika virus in Majuro?
3,-37.814,144.96331999999998,5,More Zika patients reported in Melbourne
4,-14.833329999999998,-64.9,3,Trinidad confirms first Zika case
5,-31.5375,-68.53639,3,San Juan reports 1st U.S. Zika-related death amid outbreak
6,-12.971110000000001,-38.51083,3,Zika spreading to Salvador
7,-22.725279999999998,-47.64917,3,"Zika outbreak in Piracicaba, Brazil"
8,-12.04318,-77.02824,3,Lima tries to address Zika Concerns
9,-19.92083,-43.93778,3,New Zika Case Confirmed in Belo Horizonte
10,4.1419999999999995,-73.62664000000001,3,Villavicencio under Zika threat
11,-32.035,-52.09861,3,Zika alert for Rio Grande Valley residents
12,-23.960829999999998,-46.33361,3,Zika arrives in Santos
13,10.65245,-61.388780000000004,3,Zika case recorded in Tunapuna »
14,6.33732,-75.55795,3,Zika symptoms spotted in Bello
15,-5.795,-35.20944,3,Zika arrives in Natal
16,9.30472,-75.39778000000001,3,Zika Outbreak in Sincelejo
17,-11.18143,-40.51372,3,Zika case reported in Jacobina
18,-3.7172199999999997,-38.54306,3,Zika symptoms spotted in Fortaleza
19,-3.7491199999999996,-73.25383000000001,3,Zika symptoms spotted in Iquitos
20,-2.233,-80.91039,3,Zika Troubles come to La Libertad
21,-2.22622,-80.85873000000001,3,Outbreak of Zika in Santa Elena
22,-8.00889,-34.85528,3,Zika spreads to Olinda
23,-0.22985,-78.52495,3,Zika symptoms spotted in Quito
24,-33.29501,-66.33563000000001,3,Zika spreads to San Luis Potosi
25,-7.87472,-35.45028,3,Zika case reported in Limoeiro
26,-22.88583,-48.445,3,More Zika patients reported in Botucatu
27,-3.1019400000000004,-60.025,3,Zika Outbreak in Manaus
28,7.98654,-75.19349,3,Zika spreads to Caucasia
29,-5.90181,-76.12234000000001,3,Zika Outbreak in Yurimaguas
30,-1.0545799999999999,-80.45445,3,Outbreak of Zika in Portoviejo
