,latitude,longitude,cluster_label,headline
0,41.4995,-81.69541,4,Zika virus reported in Cleveland
1,36.165890000000005,-86.78444,4,Nashville takes precautions against Zika
2,43.07305,-89.40123,4,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal]
3,39.96118,-82.99879,4,First Columbus Zika case
4,39.127109999999995,-84.51439,4,First Zika Case in Cincinnati
5,41.45282,-82.18236999999999,4,Zika case confirmed in Lorain
6,44.15906,-94.00915,4,Zika investigators coming to Mankato
7,25.77427,-80.19366,1,Zika Outbreak Hits Miami
8,25.79065,-80.13005,1,First Case of Zika in Miami Beach
9,28.53834,-81.37924,1,Orlando volunteers aid Zika research
10,27.94752,-82.45843,1,Tampa Bay Area Zika Case Count Climbs
11,30.438259999999996,-84.28073,1,Tallahassee Doctors Discuss Zika Virus
12,24.555239999999998,-81.78163,1,Zika symtomps spotted in Key West
13,27.33643,-82.53065,1,New Zika Case Confirmed in Sarasota County
14,30.332179999999997,-81.65565,1,Jacksonville man hit by Zika
15,27.83975,-82.79120999999999,1,"Zika Patient in Seminole, Florida"
16,27.638640000000002,-80.39726999999999,1,Can Zika make it here to Vero Beach?
17,35.227090000000004,-80.84313,1,Zika cases concern Charlotte residents
18,26.93422,-80.09421,1,Zika case reported in Jupiter
19,25.754820000000002,-80.32727,1,Zika virus confirmed in Westchester
20,30.42131,-87.21691,1,More Zika patients reported in Pensacola
21,30.15946,-85.65983,1,Outbreak of Zika in Panama City
22,25.89009,-80.18670999999999,1,Zika Arrives in North Miami
23,30.833340000000003,-83.28031999999999,1,Zika battle outlined at Valdosta meeting
24,25.72149,-80.26838000000001,1,Zika case reported in Coral Gables
25,26.71534,-80.05337,1,Zika arrives in West Palm Beach
26,29.21081,-81.02283,1,Zika spreads to Daytona Beach
27,25.86898,-80.21699,1,Zika Outbreak in Pinewood
28,26.823390000000003,-80.13865,1,Zika Spreads to Palm Beach Gardens
29,26.21286,-80.24977,1,Zika in Tamarac!
30,29.95465,-90.07507,1,Zika only the latest mosquito-borne threat to New Orleans
31,26.339809999999996,-81.7787,1,Zika symptoms spotted in Bonita Springs
32,26.621679999999998,-81.84059,1,More Zika patients reported in Fort Myers
33,25.9812,-80.14838,1,Hallandale Beach a Victim of Zika Outbreak
34,26.358690000000003,-80.0831,1,Zika arrives in Boca Raton
35,27.498929999999998,-82.57481999999999,1,Bradenton Experiences Zika Troubles  
36,28.304679999999998,-81.41667,1,Zika spreads to Kissimmee
37,27.446709999999996,-80.32561,1,Zika reported in Fort Pierce
38,28.6,-81.33924,1,Zika spreads to Winter Park
39,28.073890000000002,-82.43902,1,Stony Brook University experts discuss Zika virus
